fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km
2017 99a Coppa Bernocchi - 42o GP BPM.gpx,https://www.komoot.com/tour/2969336485,177.0,12.0,5.64,1.95,0.44,0.253,186.0,7.83,3.05,0.205,0.0,0.0,0.0,0.0,0.0,0.0
2017 ACC Asian Road Championships - ITT.gpx,https://www.komoot.com/tour/2969337169,10.0,1.8,0.0,0.0,13.9,0.0,7.27,3.05,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0
2017 ACC Asian Road Championships - TTT.gpx,https://www.komoot.com/tour/2969337776,15.0,2.7,0.0,0.0,20.9,0.0,10.9,4.58,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0
2017 ACC Asian Road Championships.gpx,https://www.komoot.com/tour/2969338489,35.0,6.31,0.0,0.0,48.9,0.0,25.4,10.7,0.0,54.3,0.126,0.0,0.0,0.0,0.0,0.0
2017 Abu Dhabi Tour Stage 1.gpx,https://www.komoot.com/tour/2969339560,28.0,0.742,13.8,0.0,104.0,0.0,34.1,7.68,0.0,106.0,1.4,0.0,0.0,0.0,0.0,0.0
2017 Abu Dhabi Tour Stage 2.gpx,https://www.komoot.com/tour/2969340592,58.1,2.97,7.47,6.75,33.4,0.0,67.1,9.8,4.14,34.5,6.96,0.0,0.0,0.0,0.0,0.0
2017 Abu Dhabi Tour Stage 3.gpx,https://www.komoot.com/tour/2969341332,42.0,0.787,105.0,0.0,1.84,0.323,145.0,2.4,0.189,2.49,1.03,0.0,0.0,0.0,0.0,0.0
2017 Abu Dhabi Tour Stage 4.gpx,https://www.komoot.com/tour/2969342083,0.0,0.623,0.0,0.0,139.0,0.0,0.0,4.83,0.0,140.0,4.83,0.0,0.0,0.0,0.0,0.0
2017 Amgen Tour of California Stage 1.gpx,https://www.komoot.com/tour/2969342656,153.0,0.819,1.16,12.2,1.38,0.0,162.0,4.29,0.0,1.44,0.582,0.582,0.0,0.0,0.0,0.0
2017 Amgen Tour of California Stage 2.gpx,https://www.komoot.com/tour/2969343314,123.0,0.0,14.6,4.05,1.04,0.0,135.0,6.86,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0
2017 Amgen Tour of California Stage 3.gpx,https://www.komoot.com/tour/2969344194,78.0,11.7,60.7,36.0,0.311,0.0,168.0,20.1,0.0,0.311,0.0,0.0,0.0,0.0,0.0,0.0
2017 Amgen Tour of California Stage 4.gpx,https://www.komoot.com/tour/2969344888,58.8,11.6,78.4,6.41,2.81,0.0,143.0,12.6,0.0,2.93,0.141,0.141,0.0,0.0,0.0,0.0
2017 Amgen Tour of California Stage 5.gpx,https://www.komoot.com/tour/2969345457,113.0,0.24,2.45,8.56,0.224,0.0,62.4,62.0,0.0,0.379,0.0,0.0,0.0,0.0,0.0,0.0
2017 Amgen Tour of California Stage 6.gpx,https://www.komoot.com/tour/2969345854,15.9,5.54,0.464,2.38,0.0,0.0,23.7,0.725,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2017 Amgen Tour of California Stage 7.gpx,https://www.komoot.com/tour/2969346596,72.1,0.0,34.9,20.9,0.771,0.0,126.0,1.9,0.0,0.774,0.188,0.0,0.0,0.0,0.0,0.0
2017 Amstel Gold Race.gpx,https://www.komoot.com/tour/2969347405,114.0,9.0,0.0,89.8,1.86,0.0,235.0,17.6,5.98,2.61,1.68,0.257,0.184,0.14,0.0,0.0
2017 Arctic Race of Norway Stage 1.gpx,https://www.komoot.com/tour/2969347928,37.8,5.12,112.0,0.0,1.32,0.0,150.0,4.99,0.0,1.32,0.304,0.0,0.0,0.0,0.0,0.0
2017 Arctic Race of Norway Stage 2.gpx,https://www.komoot.com/tour/2969348307,29.3,8.89,122.0,0.0,24.0,0.0,151.0,0.0,0.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0
2017 Arctic Race of Norway Stage 3.gpx,https://www.komoot.com/tour/2969348774,52.8,0.85,126.0,0.0,5.78,0.0,179.0,0.0,0.0,2.99,0.151,0.0,0.0,0.0,0.0,0.0
2017 Arctic Race of Norway Stage 4.gpx,https://www.komoot.com/tour/2969349879,74.9,8.0,75.4,1.95,0.0,0.0,158.0,1.14,0.712,0.151,0.151,0.0,0.0,0.0,0.0,0.0
2017 Arnhem-Veenendaal Classic.gpx,https://www.komoot.com/tour/2969351197,90.4,11.8,4.18,61.1,7.86,0.0,150.0,29.6,10.3,8.56,4.41,1.43,0.121,0.0,0.0,0.0
2017 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969352015,40.8,0.0,0.0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Australian Road National Championships.gpx,https://www.komoot.com/tour/2969352765,144.0,0.0,27.3,12.1,0.0,0.0,25.5,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Austrian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969353549,27.3,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.395,0.226,0.0,0.0,0.0,0.0
2017 Austrian Road National Championships.gpx,https://www.komoot.com/tour/2969354078,105.0,4.03,58.5,8.1,0.0,0.0,165.0,7.29,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Baloise Belgium Tour Stage 1.gpx,https://www.komoot.com/tour/2969354748,37.8,18.9,0.15,106.0,0.258,0.0,107.0,62.5,7.63,1.15,0.587,0.237,0.12,0.55,0.0,0.0
2017 Baloise Belgium Tour Stage 2.gpx,https://www.komoot.com/tour/2969355456,71.6,8.31,0.419,93.8,0.223,0.0,112.0,81.1,5.62,1.33,0.0,0.0,0.0,0.0,0.0,0.0
2017 Baloise Belgium Tour Stage 3.gpx,https://www.komoot.com/tour/2969355996,4.96,0.0,0.0,7.28,0.0,0.0,6.75,6.51,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0
2017 Baloise Belgium Tour Stage 4.gpx,https://www.komoot.com/tour/2969356613,127.0,13.0,21.4,3.24,2.87,0.0,150.0,14.4,0.626,3.01,0.324,0.0,0.0,0.0,0.0,0.0
2017 Baloise Belgium Tour Stage 5.gpx,https://www.komoot.com/tour/2969357131,70.7,11.1,11.7,50.2,0.284,0.0,96.5,63.4,9.28,0.544,0.322,0.0,0.552,0.0,0.0,0.0
2017 Belgian Road National Championships.gpx,https://www.komoot.com/tour/2969358590,9.99,63.1,0.199,91.6,8.94,0.175,117.0,71.2,37.0,13.3,2.78,0.0,0.0,0.532,0.0,0.0
2017 Binche - Chimay - Binche (Memorial Frank Vandenbroucke).gpx,https://www.komoot.com/tour/2969359381,84.9,8.43,88.4,13.6,0.0,0.0,179.0,11.6,4.2,0.833,0.0,0.0,0.0,0.0,0.0,0.0
2017 BinckBank Tour Stage 1.gpx,https://www.komoot.com/tour/2969360237,24.8,6.56,4.26,38.7,11.3,0.0,127.0,30.6,8.06,12.2,2.64,2.75,0.978,0.0,0.0,0.0
2017 BinckBank Tour Stage 2.gpx,https://www.komoot.com/tour/2969360908,1.08,1.06,0.0,6.11,0.0,0.0,6.74,0.187,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 BinckBank Tour Stage 3.gpx,https://www.komoot.com/tour/2969361527,51.2,6.17,4.81,108.0,0.0,0.0,128.0,58.7,5.18,0.803,0.836,0.516,0.0,0.0,0.0,0.0
2017 BinckBank Tour Stage 4.gpx,https://www.komoot.com/tour/2969362247,20.7,35.2,0.0,70.9,0.0,0.0,100.0,50.2,2.52,0.141,0.725,0.583,0.0,0.0,0.0,0.0
2017 BinckBank Tour Stage 5.gpx,https://www.komoot.com/tour/2969363863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,5.2,0.0,0.137,0.0,0.0,0.0,0.0
2017 BinckBank Tour Stage 6.gpx,https://www.komoot.com/tour/2969364334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,0.507,0.0,1.88,0.0,0.0,0.0,0.0
2017 BinckBank Tour Stage 7.gpx,https://www.komoot.com/tour/2969364888,0.0,0.0,0.0,0.0,0.0,0.0,111.0,71.6,7.32,3.94,0.0,0.431,0.0,0.0,0.0,0.0
2017 Boucles de l'Aulne - Chateaulin.gpx,https://www.komoot.com/tour/2969365470,0.0,0.0,0.0,0.0,0.0,0.0,158.0,14.2,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Boucles de la Mayenne Prologue.gpx,https://www.komoot.com/tour/2969369918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Boucles de la Mayenne Stage 1.gpx,https://www.komoot.com/tour/2969370626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Boucles de la Mayenne Stage 2.gpx,https://www.komoot.com/tour/2969371049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Boucles de la Mayenne Stage 3.gpx,https://www.komoot.com/tour/2969371572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Bretagne Classic - Ouest France.gpx,https://www.komoot.com/tour/2969379733,229.0,0.602,10.3,1.76,0.954,0.0,203.0,38.4,0.0,0.954,0.128,0.905,0.777,0.0,0.0,0.0
2017 Brussels Cycling Classic.gpx,https://www.komoot.com/tour/2969380468,96.6,27.8,9.74,58.2,0.0,0.0,146.0,51.4,4.66,0.245,1.71,0.0,0.0,1.03,0.0,0.0
2017 CAC African Road Championships - ITT.gpx,https://www.komoot.com/tour/2969381009,0.0,0.0,28.9,0.0,1.97,0.0,28.9,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0
2017 CAC African Road Championships - TTT.gpx,https://www.komoot.com/tour/2969381635,0.248,0.0,19.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 CAC African Road Championships.gpx,https://www.komoot.com/tour/2969382261,0.0,0.0,99.4,0.0,6.88,0.0,99.4,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0
2017 COPACI Campeonato Panamericano de Ruta - ITT.gpx,https://www.komoot.com/tour/2969382900,39.7,0.0,0.0,0.0,0.0,0.0,39.7,0.208,0.0,0.26,0.504,0.0,0.0,0.0,0.0,0.0
2017 COPACI Campeonato Panamericano de Ruta.gpx,https://www.komoot.com/tour/2969383598,89.4,0.0,0.0,0.0,0.0,0.0,89.4,0.516,0.0,0.63,1.18,0.0,0.0,0.0,0.0,0.0
2017 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2969384389,75.5,0.683,8.41,28.8,0.0,0.0,90.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Canadian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969384998,36.8,0.0,0.0,0.0,0.0,0.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Canadian Road National Championships.gpx,https://www.komoot.com/tour/2969386200,42.4,1.57,106.0,9.02,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Carrefour Market Heistse Pijl.gpx,https://www.komoot.com/tour/2969387039,11.3,14.1,0.0,148.0,1.31,0.0,84.0,100.0,5.27,1.54,0.177,0.419,0.239,0.0,0.0,0.0
2017 Chrono des Nations.gpx,https://www.komoot.com/tour/2969387586,37.7,0.0,9.17,2.44,0.177,0.0,46.5,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 1.gpx,https://www.komoot.com/tour/2969388519,165.0,1.2,0.86,5.91,0.0,0.197,154.0,19.7,0.0,0.197,0.141,0.0,0.0,0.0,0.0,0.0
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 2-1.gpx,https://www.komoot.com/tour/2969389195,82.0,7.33,0.0,9.1,0.0,0.0,96.2,2.48,0.41,0.0,0.572,0.0,0.0,0.0,0.0,0.0
2017 Circuito de Getxo - Memorial Ricardo Otxoa.gpx,https://www.komoot.com/tour/2969390355,68.7,45.5,16.7,38.9,0.0,0.28,142.0,28.6,2.44,0.67,3.13,0.0,0.0,0.0,0.0,0.0
2017 Clasica Ciclista San Sebastian.gpx,https://www.komoot.com/tour/2969391421,163.0,8.09,43.5,7.93,10.7,0.0,221.0,2.08,0.87,10.9,1.71,0.0,0.0,0.0,0.0,0.0
2017 Clasica de Almeria.gpx,https://www.komoot.com/tour/2969392200,144.0,5.75,35.3,0.651,4.81,0.0,174.0,13.4,0.0,5.24,1.84,0.331,0.0,0.0,0.0,0.0
2017 Classic Loire Atlantique.gpx,https://www.komoot.com/tour/2969392796,155.0,25.2,0.0,7.27,0.0,0.0,166.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Colombian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969393221,20.0,0.0,14.5,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Colorado Classic Stage 1.gpx,https://www.komoot.com/tour/2969395281,39.3,13.8,43.7,51.0,0.0,0.0,131.0,20.0,0.0,0.875,4.4,0.345,0.315,0.0,0.0,0.0
2017 Colorado Classic Stage 2.gpx,https://www.komoot.com/tour/2969395896,66.5,27.1,0.0,9.64,0.0,0.0,92.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Colorado Classic Stage 3.gpx,https://www.komoot.com/tour/2969396922,38.4,2.32,59.4,28.4,1.28,0.147,115.0,7.15,0.0,1.85,1.6,7.42,0.0,0.111,0.0,0.0
2017 Colorado Classic Stage 4.gpx,https://www.komoot.com/tour/2969398184,46.1,25.9,0.0,46.8,3.17,0.0,111.0,2.71,0.0,8.19,0.581,0.0,0.0,0.489,0.0,0.0
2017 Coppa Agostoni - Giro delle Brianze.gpx,https://www.komoot.com/tour/2969398823,189.0,6.44,0.267,2.05,0.0,0.0,167.0,31.4,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.0
2017 Coppa Sabatini.gpx,https://www.komoot.com/tour/2969399521,166.0,0.103,30.9,0.0,0.185,0.0,196.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.0
2017 Criterium du Dauphine Stage 1.gpx,https://www.komoot.com/tour/2969400124,153.0,7.86,7.19,2.14,0.0,0.0,163.0,6.33,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0
2017 Criterium du Dauphine Stage 2.gpx,https://www.komoot.com/tour/2969400537,141.0,0.111,27.2,1.54,0.0,0.0,167.0,2.3,0.0,0.112,0.236,0.279,0.0,0.0,0.0,0.0
2017 Criterium du Dauphine Stage 3.gpx,https://www.komoot.com/tour/2969401073,147.0,0.0,32.6,4.53,1.47,0.0,183.0,1.26,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0
2017 Criterium du Dauphine Stage 4.gpx,https://www.komoot.com/tour/2969401557,22.1,0.494,0.0,0.721,0.0,0.0,21.4,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Criterium du Dauphine Stage 5.gpx,https://www.komoot.com/tour/2969402116,168.0,1.82,1.76,3.24,0.201,0.215,169.0,6.24,0.0,0.416,0.102,0.198,0.0,0.0,0.0,0.0
2017 Criterium du Dauphine Stage 6.gpx,https://www.komoot.com/tour/2969402675,136.0,0.126,9.88,0.718,0.269,0.0,146.0,0.684,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.0
2017 Criterium du Dauphine Stage 7.gpx,https://www.komoot.com/tour/2969403211,104.0,0.244,20.6,42.9,0.176,0.199,165.0,2.1,0.0,0.178,0.122,0.0,0.0,0.0,0.0,0.0
2017 Criterium du Dauphine Stage 8.gpx,https://www.komoot.com/tour/2969403706,111.0,0.0,2.67,0.253,1.16,0.0,114.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0
2017 Czech Cycling Tour Stage 1.gpx,https://www.komoot.com/tour/2969404138,17.5,0.966,0.0,0.0,0.0,0.0,17.5,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Czech Cycling Tour Stage 2.gpx,https://www.komoot.com/tour/2969404865,149.0,6.27,48.9,0.0,0.569,0.0,193.0,4.85,5.61,1.14,0.774,0.0,0.0,0.0,0.0,0.0
2017 Czech Cycling Tour Stage 3.gpx,https://www.komoot.com/tour/2969405768,154.0,5.09,25.8,1.09,0.0,0.0,181.0,1.85,3.21,0.257,0.362,0.0,0.0,0.0,0.0,0.0
2017 Czech Cycling Tour Stage 4.gpx,https://www.komoot.com/tour/2969406606,133.0,0.0,17.0,0.333,0.0,0.0,150.0,0.236,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0
2017 Danilith - Nokere Koerse.gpx,https://www.komoot.com/tour/2969407176,116.0,7.72,0.198,62.9,1.33,0.0,153.0,26.2,12.4,1.33,0.0,0.226,0.226,0.0,0.0,0.0
2017 De Brabantse Pijl - La Fleche Brabanconne.gpx,https://www.komoot.com/tour/2969407978,68.9,25.9,21.0,85.5,1.51,0.0,133.0,67.4,3.4,1.51,0.0,0.0,0.0,0.0,0.0,0.0
2017 Druivenkoers - Overijse.gpx,https://www.komoot.com/tour/2969408677,28.7,72.8,13.6,73.9,2.38,0.0,101.0,81.6,9.16,2.38,0.958,0.958,0.0,0.0,0.0,0.0
2017 Dubai Tour Stage 1.gpx,https://www.komoot.com/tour/2969409608,58.0,2.8,44.0,7.2,65.6,0.0,96.7,4.6,5.1,71.4,6.23,3.04,0.0,3.04,0.0,0.0
2017 Dubai Tour Stage 2.gpx,https://www.komoot.com/tour/2969410454,29.4,3.99,56.7,0.0,97.4,0.0,84.8,3.57,0.821,84.9,0.53,0.516,0.263,0.0,0.0,0.0
2017 Dubai Tour Stage 3.gpx,https://www.komoot.com/tour/2969411143,31.1,6.13,22.3,8.39,132.0,0.0,51.6,14.4,0.0,109.0,2.03,0.404,0.0,0.0,0.0,0.0
2017 Dubai Tour Stage 5.gpx,https://www.komoot.com/tour/2969412359,33.4,3.52,60.0,2.22,21.4,0.0,92.9,5.15,4.01,23.7,5.34,0.0,0.0,0.0,0.0,0.0
2017 Dwars door West-Vlaanderen - Johan Museeuw Classic.gpx,https://www.komoot.com/tour/2969412989,117.0,5.56,1.62,73.1,0.0,0.0,101.0,99.4,8.17,0.256,0.0,0.0,0.0,0.0,0.0,0.0
2017 Dwars door het Hageland - Aarschot.gpx,https://www.komoot.com/tour/2969413757,61.8,21.2,0.24,83.9,0.117,0.0,56.2,109.0,9.28,0.243,22.2,10.8,0.444,8.25,0.0,0.0
2017 Elfstedenronde (Bruges Cycling Classic).gpx,https://www.komoot.com/tour/2969414432,68.1,18.9,9.58,80.6,3.76,0.184,111.0,69.7,12.9,5.05,0.433,0.346,0.0,0.0,0.0,0.0
2017 Eschborn-Frankfurt 'Rund um den Finanzplatz'.gpx,https://www.komoot.com/tour/2969415113,143.0,19.2,7.91,20.8,16.7,0.566,185.0,7.43,5.48,17.6,3.36,0.205,1.16,0.316,0.0,0.0
2017 Etoile de Besseges Stage 1.gpx,https://www.komoot.com/tour/2969415654,107.0,1.78,44.6,0.0,0.395,0.0,150.0,3.64,0.0,1.02,0.626,0.0,0.0,0.0,0.0,0.0
2017 Etoile de Besseges Stage 2.gpx,https://www.komoot.com/tour/2969416309,122.0,0.57,26.1,3.22,0.777,0.0,141.0,9.78,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0
2017 Etoile de Besseges Stage 3.gpx,https://www.komoot.com/tour/2969416862,120.0,2.7,22.9,0.0,7.11,0.0,144.0,1.47,0.0,7.11,0.0,0.0,0.0,0.0,0.0,0.0
2017 Etoile de Besseges Stage 4.gpx,https://www.komoot.com/tour/2969417374,115.0,12.2,26.7,0.463,0.0,0.0,141.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Etoile de Besseges Stage 5.gpx,https://www.komoot.com/tour/2969417956,3.65,0.311,7.26,0.682,0.0,0.0,11.8,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Euroeyes Cyclassics.gpx,https://www.komoot.com/tour/2969419120,99.6,5.89,13.0,66.5,9.0,0.0,165.0,42.0,2.59,9.43,2.36,1.29,0.941,0.144,0.0,0.0
2017 Famenne Ardenne Classic.gpx,https://www.komoot.com/tour/2969419613,159.0,5.84,18.2,11.6,0.0,0.0,190.0,2.32,2.43,0.206,0.0,0.0,0.0,0.0,0.0,0.0
2017 Faun Environnement - Classic de l'Ardeche Rhone Crussol.gpx,https://www.komoot.com/tour/2969420280,149.0,0.0,42.6,14.6,1.52,0.0,184.0,22.2,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0
2017 GP Beiras e Serra da Estrela Stage 1.gpx,https://www.komoot.com/tour/2969420906,72.9,4.17,117.0,3.44,1.15,0.0,185.0,7.3,5.08,1.3,0.0,0.0,0.0,0.0,0.0,0.0
2017 GP Beiras e Serra da Estrela Stage 2.gpx,https://www.komoot.com/tour/2969421433,110.0,6.5,75.2,0.0,0.0,0.0,178.0,11.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 GP Beiras e Serra da Estrela Stage 3.gpx,https://www.komoot.com/tour/2969422009,84.4,1.01,76.4,0.0,0.89,0.0,135.0,25.7,0.819,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 GP Industria & Artigianato.gpx,https://www.komoot.com/tour/2969422530,171.0,1.71,23.6,0.0,0.0,0.0,163.0,32.9,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
2017 GP Stad Zottegem.gpx,https://www.komoot.com/tour/2969422974,102.0,12.0,4.15,75.9,0.0,0.0,109.0,82.0,8.47,5.64,0.0,0.0,0.0,0.0,0.0,0.0
2017 German Road National Championships.gpx,https://www.komoot.com/tour/2969465235,153.0,6.29,16.1,32.5,7.55,0.0,194.0,11.9,1.42,7.96,0.443,0.0,0.0,0.0,0.0,0.0
2017 Giro Ciclistico d'Italia Stage 1.gpx,https://www.komoot.com/tour/2969466021,117.0,0.549,6.82,2.05,1.97,0.0,123.0,3.58,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro Ciclistico d'Italia Stage 2.gpx,https://www.komoot.com/tour/2969466568,125.0,4.18,18.9,0.684,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro Ciclistico d'Italia Stage 3.gpx,https://www.komoot.com/tour/2969467130,119.0,1.67,18.5,1.09,0.0,0.0,138.0,1.69,0.0,0.17,0.471,0.0,0.0,0.0,0.0,0.0
2017 Giro Ciclistico d'Italia Stage 4.gpx,https://www.komoot.com/tour/2969467803,129.0,0.874,16.4,4.03,0.0,0.0,144.0,6.89,0.257,0.388,0.345,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 1.gpx,https://www.komoot.com/tour/2969468565,132.0,0.62,73.1,0.296,0.621,0.0,204.0,1.86,0.518,0.724,0.4,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 10.gpx,https://www.komoot.com/tour/2969469078,24.5,1.6,13.1,0.0,0.35,0.115,37.6,1.62,0.0,0.465,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 11.gpx,https://www.komoot.com/tour/2969469804,82.4,0.67,77.2,0.653,0.0,0.0,161.0,0.246,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2969470648,45.9,2.74,139.0,4.85,37.2,0.124,186.0,4.53,0.243,38.3,0.234,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2969472357,60.5,2.92,97.8,4.5,0.936,0.0,163.0,2.59,0.884,0.947,0.469,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2969472911,59.8,2.71,68.1,0.0,0.0,0.0,126.0,2.5,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2969473819,150.0,2.32,37.8,7.38,1.36,0.0,195.0,1.18,0.813,1.48,0.0,0.0,0.0,0.0,0.0,0.0
