jour,mois,annee,stage,nom_pcs,categorie,fichier_pcs
13,1,2017,stage_1,vuelta-al-tachira,2.2,13_January_2017__stage_1__vuelta-al-tachira_2017__2.2.csv
14,1,2017,stage_2,vuelta-al-tachira,2.2,14_January_2017__stage_2__vuelta-al-tachira_2017__2.2.csv
15,1,2017,stage_3,vuelta-al-tachira,2.2,15_January_2017__stage_3__vuelta-al-tachira_2017__2.2.csv
16,1,2017,stage_4,vuelta-al-tachira,2.2,16_January_2017__stage_4__vuelta-al-tachira_2017__2.2.csv
17,1,2017,stage_5,vuelta-al-tachira,2.2,17_January_2017__stage_5__vuelta-al-tachira_2017__2.2.csv
18,1,2017,stage_6,vuelta-al-tachira,2.2,18_January_2017__stage_6__vuelta-al-tachira_2017__2.2.csv
19,1,2017,stage_7,vuelta-al-tachira,2.2,19_January_2017__stage_7__vuelta-al-tachira_2017__2.2.csv
20,1,2017,stage_8,vuelta-al-tachira,2.2,20_January_2017__stage_8__vuelta-al-tachira_2017__2.2.csv
21,1,2017,stage_9,vuelta-al-tachira,2.2,21_January_2017__stage_9__vuelta-al-tachira_2017__2.2.csv
22,1,2017,stage_1,new-zealand-cycle-classic,2.2,22_January_2017__stage_1__new-zealand-cycle-classic_2017__2.2.csv
22,1,2017,stage_10,vuelta-al-tachira,2.2,22_January_2017__stage_10__vuelta-al-tachira_2017__2.2.csv
23,1,2017,stage_2,new-zealand-cycle-classic,2.2,23_January_2017__stage_2__new-zealand-cycle-classic_2017__2.2.csv
24,1,2017,stage_3,new-zealand-cycle-classic,2.2,24_January_2017__stage_3__new-zealand-cycle-classic_2017__2.2.csv
25,1,2017,stage_4,new-zealand-cycle-classic,2.2,25_January_2017__stage_4__new-zealand-cycle-classic_2017__2.2.csv
26,1,2017,stage_5,new-zealand-cycle-classic,2.2,26_January_2017__stage_5__new-zealand-cycle-classic_2017__2.2.csv
3,2,2017,result,gp-sakia-el-hamra,1.2,03_February_2017__result__gp-sakia-el-hamra_2017__1.2.csv
5,2,2017,result,gp-oued-eddahab,1.2,05_February_2017__result__gp-oued-eddahab_2017__1.2.csv
6,2,2017,result,gp-al-massira,1.2,06_February_2017__result__gp-al-massira_2017__1.2.csv
9,2,2017,result,challenge-du-prince-trophee-princier,1.2,09_February_2017__result__challenge-du-prince-trophee-princier_2017__1.2.csv
11,2,2017,result,challenge-du-prince-trophee-de-l-anniversaire,1.2,11_February_2017__result__challenge-du-prince-trophee-de-l-anniversaire_2017__1.2.csv
12,2,2017,result,challenge-du-prince,1.2,12_February_2017__result__challenge-du-prince_2017__1.2.csv
18,2,2017,stage_1,tour-des-alpes-maritimes,2.1,18_February_2017__stage_1__tour-des-alpes-maritimes_2017__2.1.csv
18,2,2017,stage_1,le-tour-de-filipinas,2.2,18_February_2017__stage_1__le-tour-de-filipinas_2017__2.2.csv
19,2,2017,stage_2,le-tour-de-filipinas,2.2,19_February_2017__stage_2__le-tour-de-filipinas_2017__2.2.csv
19,2,2017,stage_2,tour-des-alpes-maritimes,2.1,19_February_2017__stage_2__tour-des-alpes-maritimes_2017__2.1.csv
19,2,2017,result,gp-laguna,1.2,19_February_2017__result__gp-laguna_2017__1.2.csv
20,2,2017,stage_3,le-tour-de-filipinas,2.2,20_February_2017__stage_3__le-tour-de-filipinas_2017__2.2.csv
21,2,2017,stage_4,le-tour-de-filipinas,2.2,21_February_2017__stage_4__le-tour-de-filipinas_2017__2.2.csv
26,2,2017,result,gp-izola-butan-plin,1.2,26_February_2017__result__gp-izola-butan-plin_2017__1.2.csv
26,2,2017,stage_1,vuelta-independencia-nacional,2.2,26_February_2017__stage_1__vuelta-independencia-nacional_2017__2.2.csv
27,2,2017,stage_2,vuelta-independencia-nacional,2.2,27_February_2017__stage_2__vuelta-independencia-nacional_2017__2.2.csv
28,2,2017,stage_3,vuelta-independencia-nacional,2.2,28_February_2017__stage_3__vuelta-independencia-nacional_2017__2.2.csv
1,3,2017,result,trofej-umag,1.2,01_March_2017__result__trofej-umag_2017__1.2.csv
1,3,2017,stage_4,vuelta-independencia-nacional,2.2,01_March_2017__stage_4__vuelta-independencia-nacional_2017__2.2.csv
2,3,2017,stage_5,vuelta-independencia-nacional,2.2,02_March_2017__stage_5__vuelta-independencia-nacional_2017__2.2.csv
3,3,2017,stage_6,vuelta-independencia-nacional,2.2,03_March_2017__stage_6__vuelta-independencia-nacional_2017__2.2.csv
4,3,2017,result,porec-trophy,1.2,04_March_2017__result__porec-trophy_2017__1.2.csv
4,3,2017,stage_7,vuelta-independencia-nacional,2.2,04_March_2017__stage_7__vuelta-independencia-nacional_2017__2.2.csv
5,3,2017,stage_8,vuelta-independencia-nacional,2.2,05_March_2017__stage_8__vuelta-independencia-nacional_2017__2.2.csv
5,3,2017,result,gp-de-la-ville-de-lillers,1.2,05_March_2017__result__gp-de-la-ville-de-lillers_2017__1.2.csv
5,3,2017,result,trofeu-da-arrabida,1.2,05_March_2017__result__trofeu-da-arrabida_2017__1.2.csv
5,3,2017,result,rhodes-gp,1.2,05_March_2017__result__rhodes-gp_2017__1.2.csv
9,3,2017,prologue,istrian-spring-tour,2.2,09_March_2017__Prologue__istrian-spring-tour_2017__2.2.csv
10,3,2017,stage_1,tour-of-rhodes,2.2,10_March_2017__stage_1__tour-of-rhodes_2017__2.2.csv
10,3,2017,stage_1,istrian-spring-tour,2.2,10_March_2017__stage_1__istrian-spring-tour_2017__2.2.csv
11,3,2017,stage_2,istrian-spring-tour,2.2,11_March_2017__stage_2__istrian-spring-tour_2017__2.2.csv
11,3,2017,stage_2,tour-of-rhodes,2.2,11_March_2017__stage_2__tour-of-rhodes_2017__2.2.csv
11,3,2017,stage_1,tour-du-cameroun,2.2,11_March_2017__stage_1__tour-du-cameroun_2017__2.2.csv
12,3,2017,stage_3,tour-of-rhodes,2.2,12_March_2017__stage_3__tour-of-rhodes_2017__2.2.csv
12,3,2017,stage_3,istrian-spring-tour,2.2,12_March_2017__stage_3__istrian-spring-tour_2017__2.2.csv
12,3,2017,stage_2,tour-du-cameroun,2.2,12_March_2017__stage_2__tour-du-cameroun_2017__2.2.csv
12,3,2017,result,classica-aldeias-do-xisto-cylin-portugal,1.2,12_March_2017__result__classica-aldeias-do-xisto-cylin-portugal_2017__1.2.csv
12,3,2017,result,dorpenomloop-rucphen,1.2,12_March_2017__result__dorpenomloop-rucphen_2017__1.2.csv
12,3,2017,result,paris-troyes,1.2,12_March_2017__result__paris-troyes_2017__1.2.csv
13,3,2017,stage_3,tour-du-cameroun,2.2,13_March_2017__stage_3__tour-du-cameroun_2017__2.2.csv
14,3,2017,stage_4,tour-du-cameroun,2.2,14_March_2017__stage_4__tour-du-cameroun_2017__2.2.csv
15,3,2017,stage_5,tour-du-cameroun,2.2,15_March_2017__stage_5__tour-du-cameroun_2017__2.2.csv
16,3,2017,stage_6,tour-du-cameroun,2.2,16_March_2017__stage_6__tour-du-cameroun_2017__2.2.csv
18,3,2017,stage_7,tour-du-cameroun,2.2,18_March_2017__stage_7__tour-du-cameroun_2017__2.2.csv
19,3,2017,stage_8,tour-du-cameroun,2.2,19_March_2017__stage_8__tour-du-cameroun_2017__2.2.csv
19,3,2017,result,popolarissima,1.2,19_March_2017__result__popolarissima_2017__1.2.csv
30,3,2017,stage_1,joe-martin-stage-race-me,2.2,30_March_2017__stage_1__joe-martin-stage-race-me_2017__2.2.csv
31,3,2017,stage_2,joe-martin-stage-race-me,2.2,31_March_2017__stage_2__joe-martin-stage-race-me_2017__2.2.csv
31,3,2017,stage_1,le-triptyque-des-monts-et-chateaux,2.2,31_March_2017__stage_1__le-triptyque-des-monts-et-chateaux_2017__2.2.csv
31,3,2017,stage_1,tour-de-tochigi,2.2,31_March_2017__stage_1__tour-de-tochigi_2017__2.2.csv
1,4,2017,stage_3,joe-martin-stage-race-me,2.2,01_April_2017__stage_3__joe-martin-stage-race-me_2017__2.2.csv
1,4,2017,stage_2,tour-de-tochigi,2.2,01_April_2017__stage_2__tour-de-tochigi_2017__2.2.csv
1,4,2017,stage_2,le-triptyque-des-monts-et-chateaux,2.2,01_April_2017__stage_2__le-triptyque-des-monts-et-chateaux_2017__2.2.csv
2,4,2017,result,gp-adria-mobil,1.2,02_April_2017__result__gp-adria-mobil_2017__1.2.csv
2,4,2017,result,trofeo-piva,1.2U,02_April_2017__result__trofeo-piva_2017__1.2U.csv
2,4,2017,stage_4,joe-martin-stage-race-me,2.2,02_April_2017__stage_4__joe-martin-stage-race-me_2017__2.2.csv
2,4,2017,stage_3,tour-de-tochigi,2.2,02_April_2017__stage_3__tour-de-tochigi_2017__2.2.csv
5,4,2017,stage_3,region-pays-de-la-loire,2.1,05_April_2017__stage_3__region-pays-de-la-loire_2017__2.1.csv
6,4,2017,stage_4,region-pays-de-la-loire,2.1,06_April_2017__stage_4__region-pays-de-la-loire_2017__2.1.csv
7,4,2017,stage_1,tour-du-maroc,2.2,07_April_2017__stage_1__tour-du-maroc_2017__2.2.csv
7,4,2017,stage_1,circuit-des-ardennes,2.2,07_April_2017__stage_1__circuit-des-ardennes_2017__2.2.csv
7,4,2017,stage_1,vuelta-ciclista-al-uruguay,2.2,07_April_2017__stage_1__vuelta-ciclista-al-uruguay_2017__2.2.csv
7,4,2017,stage_5,region-pays-de-la-loire,2.1,07_April_2017__stage_5__region-pays-de-la-loire_2017__2.1.csv
8,4,2017,stage_2,circuit-des-ardennes,2.2,08_April_2017__stage_2__circuit-des-ardennes_2017__2.2.csv
8,4,2017,stage_2,tour-du-maroc,2.2,08_April_2017__stage_2__tour-du-maroc_2017__2.2.csv
8,4,2017,stage_2,vuelta-ciclista-al-uruguay,2.2,08_April_2017__stage_2__vuelta-ciclista-al-uruguay_2017__2.2.csv
8,4,2017,result,trofeo-edil-c-u23,1.2U,08_April_2017__result__trofeo-edil-c-u23_2017__1.2U.csv
8,4,2017,result,tour-des-flandres-espoirs,1.Ncup,08_April_2017__result__tour-des-flandres-espoirs_2017__1.Ncup.csv
9,4,2017,stage_3,circuit-des-ardennes,2.2,09_April_2017__stage_3__circuit-des-ardennes_2017__2.2.csv
9,4,2017,stage_3,tour-du-maroc,2.2,09_April_2017__stage_3__tour-du-maroc_2017__2.2.csv
9,4,2017,stage_4,circuit-des-ardennes,2.2,09_April_2017__stage_4__circuit-des-ardennes_2017__2.2.csv
10,4,2017,stage_4,tour-du-maroc,2.2,10_April_2017__stage_4__tour-du-maroc_2017__2.2.csv
11,4,2017,stage_5,tour-du-maroc,2.2,11_April_2017__stage_5__tour-du-maroc_2017__2.2.csv
12,4,2017,stage_6,tour-du-maroc,2.2,12_April_2017__stage_6__tour-du-maroc_2017__2.2.csv
12,4,2017,stage_1,tour-du-loir-et-cher,2.2,12_April_2017__stage_1__tour-du-loir-et-cher_2017__2.2.csv
13,4,2017,stage_1,tour-de-lombok,2.2,13_April_2017__stage_1__tour-de-lombok_2017__2.2.csv
13,4,2017,stage_7,tour-du-maroc,2.2,13_April_2017__stage_7__tour-du-maroc_2017__2.2.csv
13,4,2017,stage_2,tour-du-loir-et-cher,2.2,13_April_2017__stage_2__tour-du-loir-et-cher_2017__2.2.csv
14,4,2017,stage_2,tour-de-lombok,2.2,14_April_2017__stage_2__tour-de-lombok_2017__2.2.csv
14,4,2017,stage_8,tour-du-maroc,2.2,14_April_2017__stage_8__tour-du-maroc_2017__2.2.csv
14,4,2017,stage_3,tour-du-loir-et-cher,2.2,14_April_2017__stage_3__tour-du-loir-et-cher_2017__2.2.csv
15,4,2017,result,fenkil-northen-red-sea-challenge,1.2,15_April_2017__result__fenkil-northen-red-sea-challenge_2017__1.2.csv
15,4,2017,result,liege-bastogne-liege-u23,1.2U,15_April_2017__result__liege-bastogne-liege-u23_2017__1.2U.csv
15,4,2017,stage_9,tour-du-maroc,2.2,15_April_2017__stage_9__tour-du-maroc_2017__2.2.csv
15,4,2017,stage_4,tour-du-loir-et-cher,2.2,15_April_2017__stage_4__tour-du-loir-et-cher_2017__2.2.csv
15,4,2017,stage_3,tour-de-lombok,2.2,15_April_2017__stage_3__tour-de-lombok_2017__2.2.csv
16,4,2017,result,massawa-circuit,1.2,16_April_2017__result__massawa-circuit_2017__1.2.csv
16,4,2017,stage_5,tour-du-loir-et-cher,2.2,16_April_2017__stage_5__tour-du-loir-et-cher_2017__2.2.csv
16,4,2017,stage_4,tour-de-lombok,2.2,16_April_2017__stage_4__tour-de-lombok_2017__2.2.csv
16,4,2017,stage_10,tour-du-maroc,2.2,16_April_2017__stage_10__tour-du-maroc_2017__2.2.csv
17,4,2017,result,circuito-belvedere,1.2U,17_April_2017__result__circuito-belvedere_2017__1.2U.csv
18,4,2017,stage_1,tour-eritrea,2.2,18_April_2017__stage_1__tour-eritrea_2017__2.2.csv
18,4,2017,result,gp-palio-del-recioto,1.2U,18_April_2017__result__gp-palio-del-recioto_2017__1.2U.csv
19,4,2017,stage_1,tour-of-the-gila,2.2,19_April_2017__stage_1__tour-of-the-gila_2017__2.2.csv
19,4,2017,stage_2,tour-eritrea,2.2,19_April_2017__stage_2__tour-eritrea_2017__2.2.csv
20,4,2017,stage_3,tour-eritrea,2.2,20_April_2017__stage_3__tour-eritrea_2017__2.2.csv
20,4,2017,stage_2,tour-of-the-gila,2.2,20_April_2017__stage_2__tour-of-the-gila_2017__2.2.csv
20,4,2017,stage_1,tour-of-mersin,2.2,20_April_2017__stage_1__tour-of-mersin_2017__2.2.csv
21,4,2017,stage_2,tour-of-mersin,2.2,21_April_2017__stage_2__tour-of-mersin_2017__2.2.csv
21,4,2017,stage_4,tour-eritrea,2.2,21_April_2017__stage_4__tour-eritrea_2017__2.2.csv
21,4,2017,stage_3,tour-of-the-gila,2.2,21_April_2017__stage_3__tour-of-the-gila_2017__2.2.csv
22,4,2017,stage_1,tour-du-senegal,2.2,22_April_2017__stage_1__tour-du-senegal_2017__2.2.csv
22,4,2017,result,visegrad-4-bicycle-race-gp-hungary,1.2,22_April_2017__result__visegrad-4-bicycle-race-gp-hungary_2017__1.2.csv
22,4,2017,result,arno-wallaard-memorial,1.2,22_April_2017__result__arno-wallaard-memorial_2017__1.2.csv
22,4,2017,stage_5,tour-eritrea,2.2,22_April_2017__stage_5__tour-eritrea_2017__2.2.csv
22,4,2017,stage_4,tour-of-the-gila,2.2,22_April_2017__stage_4__tour-of-the-gila_2017__2.2.csv
22,4,2017,stage_3,tour-of-mersin,2.2,22_April_2017__stage_3__tour-of-mersin_2017__2.2.csv
23,4,2017,stage_5,tour-of-the-gila,2.2,23_April_2017__stage_5__tour-of-the-gila_2017__2.2.csv
23,4,2017,result,gp-industria-e-commercio2,1.2U,23_April_2017__result__gp-industria-e-commercio2_2017__1.2U.csv
23,4,2017,result,circuit-of-asmara,1.2,23_April_2017__result__circuit-of-asmara_2017__1.2.csv
23,4,2017,result,visegrad-4-bicycle-race-gp-slovakia,1.2,23_April_2017__result__visegrad-4-bicycle-race-gp-slovakia_2017__1.2.csv
23,4,2017,result,east-midlands-international-cicle-classic,1.2,23_April_2017__result__east-midlands-international-cicle-classic_2017__1.2.csv
23,4,2017,stage_2,tour-du-senegal,2.2,23_April_2017__stage_2__tour-du-senegal_2017__2.2.csv
24,4,2017,stage_3,tour-du-senegal,2.2,24_April_2017__stage_3__tour-du-senegal_2017__2.2.csv
25,4,2017,stage_4,tour-du-senegal,2.2,25_April_2017__stage_4__tour-du-senegal_2017__2.2.csv
25,4,2017,result,gran-premio-della-liberazione,1.2U,25_April_2017__result__gran-premio-della-liberazione_2017__1.2U.csv
25,4,2017,stage_1,le-tour-de-bretagne,2.2,25_April_2017__stage_1__le-tour-de-bretagne_2017__2.2.csv
26,4,2017,stage_5,tour-du-senegal,2.2,26_April_2017__stage_5__tour-du-senegal_2017__2.2.csv
26,4,2017,stage_2,le-tour-de-bretagne,2.2,26_April_2017__stage_2__le-tour-de-bretagne_2017__2.2.csv
27,4,2017,stage_6,tour-du-senegal,2.2,27_April_2017__stage_6__tour-du-senegal_2017__2.2.csv
27,4,2017,stage_3,le-tour-de-bretagne,2.2,27_April_2017__stage_3__le-tour-de-bretagne_2017__2.2.csv
28,4,2017,stage_7,tour-du-senegal,2.2,28_April_2017__stage_7__tour-du-senegal_2017__2.2.csv
28,4,2017,result,himmerland-rundt,1.2,28_April_2017__result__himmerland-rundt_2017__1.2.csv
28,4,2017,stage_4,le-tour-de-bretagne,2.2,28_April_2017__stage_4__le-tour-de-bretagne_2017__2.2.csv
29,4,2017,stage_5,le-tour-de-bretagne,2.2,29_April_2017__stage_5__le-tour-de-bretagne_2017__2.2.csv
29,4,2017,stage_8,tour-du-senegal,2.2,29_April_2017__stage_8__tour-du-senegal_2017__2.2.csv
29,4,2017,result,destination-thy,1.2,29_April_2017__result__destination-thy_2017__1.2.csv
29,4,2017,result,banja-luka-belgrade-i,1.2,29_April_2017__result__banja-luka-belgrade-i_2017__1.2.csv
29,4,2017,result,zodc-zuidenveld-tour,1.2,29_April_2017__result__zodc-zuidenveld-tour_2017__1.2.csv
29,4,2017,prologue,carpathia-couriers-paths,2.2U,29_April_2017__Prologue__carpathia-couriers-paths_2017__2.2U.csv
30,4,2017,result,beograd-banja-luka-ii,1.2,30_April_2017__result__beograd-banja-luka-ii_2017__1.2.csv
30,4,2017,result,paris-mantes-en-yvelines,1.2,30_April_2017__result__paris-mantes-en-yvelines_2017__1.2.csv
30,4,2017,result,skive-lobet,1.2,30_April_2017__result__skive-lobet_2017__1.2.csv
30,4,2017,stage_1,carpathia-couriers-paths,2.2U,30_April_2017__stage_1__carpathia-couriers-paths_2017__2.2U.csv
30,4,2017,stage_6,le-tour-de-bretagne,2.2,30_April_2017__stage_6__le-tour-de-bretagne_2017__2.2.csv
1,5,2017,result,memorial-andrzeja-trochanowskiego,1.2,01_May_2017__result__memorial-andrzeja-trochanowskiego_2017__1.2.csv
1,5,2017,result,circuit-de-wallonie,1.2,01_May_2017__result__circuit-de-wallonie_2017__1.2.csv
1,5,2017,result,eschborn-frankfurt,1.UWT,01_May_2017__result__eschborn-frankfurt_2017__1.UWT.csv
1,5,2017,stage_7,le-tour-de-bretagne,2.2,01_May_2017__stage_7__le-tour-de-bretagne_2017__2.2.csv
1,5,2017,stage_2,carpathia-couriers-paths,2.2U,01_May_2017__stage_2__carpathia-couriers-paths_2017__2.2U.csv
2,5,2017,result,memorial-romana-sieminskiego,1.2,02_May_2017__result__memorial-romana-sieminskiego_2017__1.2.csv
2,5,2017,stage_3,carpathia-couriers-paths,2.2U,02_May_2017__stage_3__carpathia-couriers-paths_2017__2.2U.csv
3,5,2017,stage_1,rhone-alpes-isere-tour,2.2,03_May_2017__stage_1__rhone-alpes-isere-tour_2017__2.2.csv
4,5,2017,stage_2,rhone-alpes-isere-tour,2.2,04_May_2017__stage_2__rhone-alpes-isere-tour_2017__2.2.csv
5,5,2017,prologue,five-rings-of-moscow,2.2,05_May_2017__Prologue__five-rings-of-moscow_2017__2.2.csv
5,5,2017,stage_1,szlakiem-grodow-piastowskich,2.2,05_May_2017__stage_1__szlakiem-grodow-piastowskich_2017__2.2.csv
5,5,2017,stage_3,rhone-alpes-isere-tour,2.2,05_May_2017__stage_3__rhone-alpes-isere-tour_2017__2.2.csv
6,5,2017,result,hadeland-gp,1.2,06_May_2017__result__hadeland-gp_2017__1.2.csv
6,5,2017,result,ronde-van-overijssel,1.2,06_May_2017__result__ronde-van-overijssel_2017__1.2.csv
6,5,2017,stage_2,szlakiem-grodow-piastowskich,2.2,06_May_2017__stage_2__szlakiem-grodow-piastowskich_2017__2.2.csv
6,5,2017,stage_4,rhone-alpes-isere-tour,2.2,06_May_2017__stage_4__rhone-alpes-isere-tour_2017__2.2.csv
6,5,2017,stage_1,five-rings-of-moscow,2.2,06_May_2017__stage_1__five-rings-of-moscow_2017__2.2.csv
7,5,2017,result,circuito-del-porto-trofeo-arvedi,1.2,07_May_2017__result__circuito-del-porto-trofeo-arvedi_2017__1.2.csv
7,5,2017,result,fleche-ardennaise,1.2,07_May_2017__result__fleche-ardennaise_2017__1.2.csv
7,5,2017,result,ringerike-gp,1.2,07_May_2017__result__ringerike-gp_2017__1.2.csv
7,5,2017,stage_2,five-rings-of-moscow,2.2,07_May_2017__stage_2__five-rings-of-moscow_2017__2.2.csv
7,5,2017,stage_3,szlakiem-grodow-piastowskich,2.2,07_May_2017__stage_3__szlakiem-grodow-piastowskich_2017__2.2.csv
8,5,2017,stage_3,five-rings-of-moscow,2.2,08_May_2017__stage_3__five-rings-of-moscow_2017__2.2.csv
9,5,2017,stage_4,five-rings-of-moscow,2.2,09_May_2017__stage_4__five-rings-of-moscow_2017__2.2.csv
10,5,2017,stage_1,tour-de-tunisie,2.2,10_May_2017__stage_1__tour-de-tunisie_2017__2.2.csv
11,5,2017,stage_2,tour-de-tunisie,2.2,11_May_2017__stage_2__tour-de-tunisie_2017__2.2.csv
12,5,2017,stage_3,tour-de-tunisie,2.2,12_May_2017__stage_3__tour-de-tunisie_2017__2.2.csv
13,5,2017,result,scandinavian-race-uppsala,1.2,13_May_2017__result__scandinavian-race-uppsala_2017__1.2.csv
13,5,2017,stage_4,tour-de-tunisie,2.2,13_May_2017__stage_4__tour-de-tunisie_2017__2.2.csv
14,5,2017,result,grand-prix-criquielion,1.2,14_May_2017__result__grand-prix-criquielion_2017__1.2.csv
14,5,2017,result,ronde-van-noord-holland,1.2,14_May_2017__result__ronde-van-noord-holland_2017__1.2.csv
14,5,2017,result,gp-industrie-del-marmo,1.2U,14_May_2017__result__gp-industrie-del-marmo_2017__1.2U.csv
14,5,2017,stage_5,tour-de-tunisie,2.2,14_May_2017__stage_5__tour-de-tunisie_2017__2.2.csv
17,5,2017,prologue,tour-of-ukraine,2.2,17_May_2017__Prologue__tour-of-ukraine_2017__2.2.csv
17,5,2017,stage_1,baltyk-karkonosze-tour,2.2,17_May_2017__stage_1__baltyk-karkonosze-tour_2017__2.2.csv
18,5,2017,stage_2,baltyk-karkonosze-tour,2.2,18_May_2017__stage_2__baltyk-karkonosze-tour_2017__2.2.csv
18,5,2017,stage_1,tour-of-ukraine,2.2,18_May_2017__stage_1__tour-of-ukraine_2017__2.2.csv
19,5,2017,stage_3,baltyk-karkonosze-tour,2.2,19_May_2017__stage_3__baltyk-karkonosze-tour_2017__2.2.csv
19,5,2017,stage_2,tour-of-ukraine,2.2,19_May_2017__stage_2__tour-of-ukraine_2017__2.2.csv
19,5,2017,stage_1,paris-arras-tour,2.2,19_May_2017__stage_1__paris-arras-tour_2017__2.2.csv
20,5,2017,stage_1,tour-of-albania,2.2,20_May_2017__stage_1__tour-of-albania_2017__2.2.csv
20,5,2017,result,berner-rundfahrt-tour-de-berne,1.2,20_May_2017__result__berner-rundfahrt-tour-de-berne_2017__1.2.csv
20,5,2017,stage_2,paris-arras-tour,2.2,20_May_2017__stage_2__paris-arras-tour_2017__2.2.csv
20,5,2017,stage_4,baltyk-karkonosze-tour,2.2,20_May_2017__stage_4__baltyk-karkonosze-tour_2017__2.2.csv
